,content,cyber_label,environmental_issue
0,"All rights reserved. MA23-16258 988982046

https://www.marshmclennan.com/",,0
1,"Revisiting our purpose and/or values statements 0% 12% 48% 40% 0%

Refining how our company tells our ESG story 0% 8% 33% 56% 3%

Crafting our response to social or political issues 0% 10% 45% 44% 1%

Increasing communications about the company's
purpose/values to the marketplace 0% 10% 42% 48% 0%

Collecting customer feedback 1% 11% 48% 40% 0%

Improving diversity, equity and inclusion efforts 0% 15% 38% 47% 0%

Helping define our trust strategy 1% 11% 40% 47% 1%

Refining our approach to consumer data privacy 0% 8% 37% 55% 0%

Unsure/NANot at all Somewhat

Very little To a great extent
48

CMO and marketing leaders

*Note: Total may not add up to 100% due to rounding.
Source: PwC Pulse Survey, November 2, 2022: base of 657, CMO base of 73 PwC Pulse Survey - November 2022

How much do you agree or disagree with the following statements?

",,0
2,"Amid ongoing strategic competition in a
multi-polar world and the war in Ukraine, Western
industrialized democracies are closer than at any
point in recent history. But many countries outside
that affiliation see it in their best interest to maintain
neutrality.

A3485140
8© 2023 Copyright owned by one or more of the KPMG International entities.
KPMG International entities provide no services to clients. All rights reserved.

Alternative economic cooperation frameworks such as
the BRICS (initially a group of emerging economies:
Brazil, Russia, India, China, and South Africa) and the
Shanghai Cooperation Organization (a political,
economic, and security bloc of Eurasian states) are
gathering steam with new players looking to engage,
for example: Turkey, Iran, oil-rich Gulf states, as well
as states in Asia and Africa. These same players are
also exploring alternatives to the dominance of the
American dollar in global commerce.

The risk for business is that we may end 2023 in a
deeper competition between the “West and the
Rest” that can further depress global economic
growth, especially if decoupling extends beyond a
few critical sectors. ",,0
3,"Source: PwC Pulse Survey, November 2, 2022: base of 657, CMO base of 73 PwC Pulse Survey - November 2022

How confident are you in your company’s ability to do the following?

Manage exchange rate volatility 1% 14% 47% 36% 3%

Achieve near-term growth goals 1% 14% 49% 36% 0%

Achieve adequate and effective compliance 0% 11% 44% 45% 0%

Drive down overall cost of compliance
while effectively mitigating risk 0% 22% 42% 36% 0%

Make an acquisition 0% 12% 36% 49% 3%

Execute on overall business
transformation initiatives 0% 11% 48% 41% 0%

Free up working capital 3% 19% 40% 36% 3%

Make progress on environmental issues 0% 10% 48% 42% 0%

Maintain a respectful work environment 0% 12% 33% 53% 1%

Prevent “quiet quitting” 3% 12% 47% 36% 3%

Exit low performers 1% 14% 45% 38% 1%

Confirm change initiatives deliver expected results 1% 11% 41% 45% 1%

Completely confident

Not at all confident Unsure/NA

Somewhat confident

Mostly confident
45

CMO and marketing leaders

*Note: Total may not add up to 100% due to rounding.
",,0
4,"Executive Summary 2
Ageing and
Health Concerns

Economic
Instability

Environment
and Climate

Environmental,
Social, Governance
(ESG) Issues

Shifting
Geopolitical
Landscape

Technological
Developments
& Impacts on
Society

Demographic and
Social Change

Trends

Emerging Risk Radar
2022

Key

Impact Assessment:

Bullet colour corresponds
to potential impact of risk

Time Horizon:

Risk category: High

Significant impacts already
seen on the insurance sector

First significant potential
impacts on the insurance sector
expected within 1-5 years

First significant potential
impacts on the insurance sector
expected within 5-10 years

* New risk in 2022

Risk category: Medium

Risk category: Small

Emerging Risk Radar 2022  3

E
nv

iro
nm

en
ta

l

Social/Political/E

co
n
o
m

ic

Technological

R

egula
to

ry
/L

eg
al

Critical
Infrastructure

Blackouts

Climate
Change

Physical risk

Climate Engineering
(incl. ",,1
5,"Further, even comparatively orderly fiscal
consolidation is likely to impact spending on human
capital and development, ultimately threatening the
resilience of economies and societies in the face of
the next global shock, whatever form it might take.

The rising price of debt

General government gross debt in advanced
economies hit 112% of GDP in 2022, compared
to roughly 65% of GDP for emerging and
developing markets.119 Yet as identified in Chapter
1.2, Economic downturn, some developing
and emerging markets are feeling the impacts
of tightening monetary policy and deteriorating
economic conditions first and most acutely. For
example, Ghana recently reached an agreement with
the IMF regarding a $3 billion bailout and Zambia is
seeking to conclude restructuring of $15 billion in
external debt early this year. ",,0
6,"The world in 20332.1

1 Failure to mitigate climate change

2 Failure of climate-change adaptation

3 Natural disasters and extreme weather
events

4 Biodiversity loss and ecosystem collapse

5 Large-scale involuntary migration

6 Natural resource crises

7 Erosion of social cohesion and societal
polarization

8 Widespread cybercrime and cyber insecurity

9 Geoeconomic confrontation

10 Large-scale environmental damage
incidents

Source

World Economic Forum Global Risks
Perception Survey 2022-2023.

Global risks ranked by severity over the long term (10 years)F I G U R E  2 . 1

Risk categories Economic Environmental Geopolitical Societal Technological

Comparing the two-year and 10-year time frames
provides a picture of areas of increasing, decreasing
and continued concerns according to GRPS
respondents (Figure 2.2). The top right of the graph
indicates global risks that are perceived to be
the most severe in both the short and long term.
These are consistent areas of global concern and,
arguably, attention. Four environmental risks have

worsening scores over the course of the 10-year
time frame, indicating respondents’ concerns about
increased severity of these risks in the longer term.
",,1
7,"Given the nature of the polycrisis in each scenario,
we face various environmental and socioeconomic
upsides and downsides. The following section
outlines an illustrative, but non-exhaustive set of midterm futures to help support business leaders and
policy-makers in preparing for – and preventing – the
progression of the crises we are facing today.

We use two global drivers – geoeconomic
confrontation and speed of climate action –
to create four futures we may face by 2030,
considering potential implications based on the
evolution of these risks and their interactions
(Figure 3.2).

First, we explore the potential risks of a failure of
climate-change adaptation and failure of climate
mitigation efforts, described in Chapter 1.2,
Climate action hiatus, and the extent to which
these failures could result in conditions of scarcity,
on a continuum (y-axis):

•  Accelerated climate action: climate action
and associated funding and innovation are
prioritized. By 2030, we see persistently
expanding but largely well-managed impacts of
climate change, nature loss, natural disasters
and extreme weather events at a global level,
alongside a more rapid energy transition and

Futures frameworkBOX 1

other climate mitigation efforts as well as more
rapid adaptation.

",,1
8,"• Given the organization’s risk profile, does the board

periodically consider whether it has access to the diverse

expertise and experience needed — either on the board

itself or through access to external advisers — to provide

the necessary oversight and advice to management?

For example, is there sufficient digital savviness and

experience on the board or in the boardroom? 196

http://www.protiviti.com
Assess impact of leadership and
culture on our risk management
process

Because culture and leadership significantly impact the

organization’s approach to risk oversight:

• Is the board’s and the C-suite’s support for more robust

risk management processes evident to key stakeholders

across the organization?

– Is our risk management process helping to foster

robust discussion and dialogue about top risk issues

among senior management and the board?

– Is the board asking for more risk management

information and focused on advancing the

organization’s risk management capabilities?

• Is there a willingness among the leadership team and

business units to be more transparent about existing risk

issues when sharing information with one another?

• Do we have an accurate read on how our organization’s

culture is affecting how employees engage in risk

management processes and conversations?

",,0
9,"Full time 17%

Four days per week 6%

Three days per week 28%

Two days per week 22%

One day per week 8%

About 1-3 days per month 9%

Employees don’t have to be on-site 10%
63

Tax Leaders

*Note: Total may not add up to 100% due to rounding.
Source: PwC Pulse Survey, November 2, 2022: base of 657, Tax base of 89 PwC Pulse Survey - November 2022

As you look to the next 12-18 months, which of the following strategic
business changes are you making?

Major reorganization of operating model 22%

Changes to strategic planning based on current business conditions 58%

Acquisition or divestiture 49%

Shifting products/services mix 24%

Reducing number of full-time employees 29%

Cost cutting not including headcount reductions 58%

Hiring in specific areas to drive growth 40%

Hiring more compliance personnel 20%

Moving production to lower tax jurisdictions 15%

Moving business out of China 13%

Updating digital asset strategy 9%

Unsure 4%

None of the above 2%
64

Tax Leaders

*Note: Total may not add up to 100% due to rounding.
",,0
